IP:端口#国家,IP,端口,国家,机房,TCP延迟(ms),TLS延迟(ms),速度(Mbps)
104.129.167.255:8443#US,104.129.167.255,8443,US,MSP,6.13,8.04,50.22
104.129.167.255:443#US,104.129.167.255,443,US,MSP,7.61,9.53,37.8
104.129.167.255:2087#US,104.129.167.255,2087,US,MSP,7.42,10.95,35.56
104.129.167.255:2053#US,104.129.167.255,2053,US,ORD,10.89,11.6,26.83
104.129.164.70:2096#US,104.129.164.70,2096,US,MSP,7.91,11.9,149.84
104.129.167.255:2083#US,104.129.167.255,2083,US,ORD,9.85,12.21,25.66
104.129.167.255:2096#US,104.129.167.255,2096,US,ORD,9.52,12.37,28.89
104.129.164.70:2053#US,104.129.164.70,2053,US,MSP,6.12,12.64,246.17
104.129.166.131:2083#US,104.129.166.131,2083,US,MSP,50.98,14.19,54.81
104.129.164.70:8443#US,104.129.164.70,8443,US,MSP,10.41,14.77,240.18
104.129.164.70:443#US,104.129.164.70,443,US,ORD,14.42,15.43,255.89
104.129.166.131:2087#US,104.129.166.131,2087,US,MSP,6.94,15.86,49.91
104.129.164.70:2087#US,104.129.164.70,2087,US,ORD,9.96,15.93,314.48
104.129.164.53:443#US,104.129.164.53,443,US,MSP,15.12,16.37,75.5
104.129.166.131:2096#US,104.129.166.131,2096,US,ORD,10.14,18.52,80.77
64.177.112.4:443#US,64.177.112.4,443,US,ORD,10.3,19.07,45.81
104.129.164.53:8443#US,104.129.164.53,8443,US,ORD,18.77,20.88,86.76
40.116.88.35:443#US,40.116.88.35,443,US,ORD,10.12,22.89,71.29
104.129.164.53:2053#US,104.129.164.53,2053,US,MSP,7.98,23.63,87.49
104.129.166.131:2053#US,104.129.166.131,2053,US,MSP,40.74,24.09,57.53
104.129.166.131:8443#US,104.129.166.131,8443,US,ORD,19.97,24.85,79.37
104.129.164.53:2087#US,104.129.164.53,2087,US,ORD,11.4,24.96,75.82
104.129.164.53:2083#US,104.129.164.53,2083,US,MSP,20.88,26.91,84.91
40.233.99.248:443#CA,40.233.99.248,443,CA,YYZ,22.0,27.46,26.75
40.233.87.120:443#CA,40.233.87.120,443,CA,YYZ,26.84,28.72,72.73
64.181.218.67:443#US,64.181.218.67,443,US,ORD,24.12,28.92,369.38
104.129.166.131:443#US,104.129.166.131,443,US,ORD,12.23,29.21,74.11
140.238.144.211:443#CA,140.238.144.211,443,CA,YYZ,24.82,29.26,16.61
143.47.96.200:443#US,143.47.96.200,443,US,IAD,23.46,29.72,64.02
43.170.25.96:443#US,43.170.25.96,443,US,IAD,27.23,30.15,49.88
104.129.164.53:2096#US,104.129.164.53,2096,US,ORD,18.59,30.47,74.29
45.38.19.167:443#US,45.38.19.167,443,US,MCI,23.41,30.53,65.51
129.159.119.161:443#US,129.159.119.161,443,US,IAD,27.23,31.21,64.41
40.233.71.238:443#CA,40.233.71.238,443,CA,YYZ,24.67,31.49,65.14
150.136.105.229:443#US,150.136.105.229,443,US,IAD,27.01,31.64,47.19
31.56.229.229:443#US,31.56.229.229,443,US,MCI,23.86,31.66,114.51
159.60.146.82:443#US,159.60.146.82,443,US,ORD,9.07,31.99,22.68
208.167.245.42:443#US,208.167.245.42,443,US,EWR,28.92,32.33,75.71
185.106.95.125:443#US,185.106.95.125,443,US,DFW,14.81,32.56,54.93
40.233.77.216:443#CA,40.233.77.216,443,CA,YYZ,26.63,32.77,77.52
3.132.174.45:443#US,3.132.174.45,443,US,CMH,26.46,34.19,46.89
66.154.117.245:443#US,66.154.117.245,443,US,ORD,14.37,35.98,192.74
107.173.15.138:443#US,107.173.15.138,443,US,DFW,23.1,36.4,142.93
159.60.146.81:443#US,159.60.146.81,443,US,DFW,14.73,36.69,19.82
185.65.151.81:443#US,185.65.151.81,443,US,IAD,32.7,36.85,19.96
216.155.157.220:443#US,216.155.157.220,443,US,EWR,27.39,37.02,183.39
166.1.160.221:443#US,166.1.160.221,443,US,EWR,33.67,37.18,22.69
45.138.100.200:443#US,45.138.100.200,443,US,EWR,31.1,37.3,156.41
159.203.2.180:443#CA,159.203.2.180,443,CA,YYZ,27.06,37.57,62.4
185.234.145.124:443#US,185.234.145.124,443,US,ATL,32.22,37.65,92.62
35.182.59.30:2087#CA,35.182.59.30,2087,CA,YUL,30.55,37.69,42.48
35.182.59.30:443#CA,35.182.59.30,443,CA,YUL,30.6,38.24,46.12
142.4.37.136:8443#US,142.4.37.136,8443,US,EWR,29.01,38.29,55.5
40.233.103.212:443#CA,40.233.103.212,443,CA,YYZ,26.6,38.34,155.39
155.94.173.121:443#US,155.94.173.121,443,US,DFW,24.13,38.39,51.22
40.233.116.225:443#CA,40.233.116.225,443,CA,YYZ,27.06,38.75,43.71
149.28.56.202:443#US,149.28.56.202,443,US,EWR,31.03,38.77,30.61
23.95.113.61:443#US,23.95.113.61,443,US,IAD,39.2,38.86,51.63
147.182.156.112:443#CA,147.182.156.112,443,CA,YYZ,25.98,38.9,41.5
140.99.254.179:443#US,140.99.254.179,443,US,IAD,29.97,39.02,133.64
172.98.207.58:443#CA,172.98.207.58,443,CA,YYZ,30.11,39.1,83.35
68.233.122.42:443#CA,68.233.122.42,443,CA,YUL,34.15,40.02,34.85
159.89.91.17:443#US,159.89.91.17,443,US,EWR,34.5,40.32,121.97
40.233.110.251:443#CA,40.233.110.251,443,CA,YYZ,26.22,40.48,199.06
64.181.255.215:443#US,64.181.255.215,443,US,SJC,37.11,41.84,38.75
163.192.47.170:443#US,163.192.47.170,443,US,SJC,37.04,41.98,32.75
138.2.236.17:443#US,138.2.236.17,443,US,SJC,47.0,42.04,44.73
38.180.204.104:443#US,38.180.204.104,443,US,ORD,15.85,42.09,86.96
43.170.78.62:443#US,43.170.78.62,443,US,LAX,37.62,42.09,56.52
35.182.59.30:2053#CA,35.182.59.30,2053,CA,YUL,32.22,42.09,31.21
129.159.37.136:443#US,129.159.37.136,443,US,SJC,43.27,42.42,37.89
45.63.62.4:443#US,45.63.62.4,443,US,LAX,36.71,42.66,21.11
49.51.50.56:443#US,49.51.50.56,443,US,SJC,38.73,42.77,67.98
31.172.69.16:443#US,31.172.69.16,443,US,DFW,18.15,42.92,39.77
15.157.60.182:443#CA,15.157.60.182,443,CA,YUL,58.96,43.02,66.86
43.162.107.184:443#US,43.162.107.184,443,US,SJC,42.06,43.28,49.9
137.184.46.183:443#US,137.184.46.183,443,US,SJC,44.35,44.07,48.58
107.173.167.108:443#US,107.173.167.108,443,US,IAD,40.61,44.08,146.63
